job_title,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,job_description_length,benefits_score,company_name,required_skill_1,required_skill_2,required_skill_3,required_skill_4,required_skill_5,salary (k)
Principal Data Scientist,Executive,Full-time,Israel,Large,Israel,No remote,Associate,11,Finance,1550,8.3,Quantum Computing Inc,Spark,GCP,SQL,Statistics,PyTorch,165.0
AI Research Scientist,Mid,Freelance,Austria,Small,Austria,Hybrid,Master,2,Healthcare,900,8.1,Cognitive Computing,Mathematics,R,Python,Scala,Data Visualization,72.1
AI Specialist,Executive,Part-time,Ireland,Medium,Ireland,Fully remote,PhD,17,Consulting,1700,9.5,Future Systems,Tableau,Data Visualization,Kubernetes,Hadoop,Git,230.0
Robotics Engineer,Executive,Full-time,Netherlands,Large,Netherlands,Hybrid,Bachelor,13,Automotive,1450,7.4,Advanced Robotics,AWS,Python,C++,MLOps,Kubernetes,180.0
Data Scientist,Mid,Full-time,Germany,Large,Germany,Hybrid,Bachelor,2,Finance,1450,7.8,TechCorp Inc,Python,SQL,Statistics,R,Git,62.15
AI Research Scientist,Executive,Full-time,United States,Medium,United States,Fully remote,PhD,14,Healthcare,2100,9.2,Neural Networks Co,TensorFlow,PyTorch,Python,Mathematics,Deep Learning,185.3
ML Ops Engineer,Senior,Contract,United Kingdom,Small,United Kingdom,No remote,Master,5,Technology,1780,6.5,Cloud AI Solutions,Kubernetes,Docker,Linux,GCP,AWS,95.8
Data Analyst,Entry,Part-time,India,Medium,India,Hybrid,Bachelor,0,Consulting,1200,5.5,DataVision Ltd,SQL,Python,Data Visualization,Excel,Tableau,45.6
Computer Vision Engineer,Executive,Freelance,Canada,Medium,Canada,Hybrid,PhD,10,Automotive,1650,8.1,Autonomous Tech,PyTorch,Computer Vision,OpenCV,C++,NLP,155.4
Data Engineer,Mid,Full-time,Netherlands,Large,Netherlands,Fully remote,Master,3,Media,1900,7.0,Digital Transformation LLC,Scala,Spark,AWS,Kafka,Hadoop,78.9
Head of AI,Executive,Full-time,Switzerland,Small,Switzerland,No remote,Bachelor,20,Banking,2300,9.8,Quantum Computing Inc,Java,Git,Agile,Leadership,MLOps,250.0
Machine Learning Engineer,Entry,Contract,Austria,Small,Austria,No remote,Associate,1,Telecommunications,1100,6.0,Smart Analytics,Linux,Bash,Python,CI/CD,Docker,55.3
Data Scientist,Senior,Freelance,Norway,Medium,Norway,Fully remote,PhD,8,Energy,1550,8.5,Predictive Systems,R,Statistics,SQL,Shiny,ggplot2,140.2
Data Engineer,Senior,Full-time,Sweden,Large,Sweden,Hybrid,Master,6,Gaming,1350,7.5,Machine Intelligence Group,GCP,BigQuery,Python,Terraform,Airflow,110.5
AI Architect,Executive,Contract,Israel,Small,Israel,Fully remote,Master,15,Defense,2200,9.0,Algorithmic Solutions,AWS,Kubernetes,Microservices,Go,Terraform,175.8
Machine Learning Researcher,Entry,Part-time,France,Medium,France,Fully remote,Bachelor,0,Education,980,6.8,DeepTech Ventures,Python,NumPy,Scikit-learn,Jupyter,Pandas,50.1
Data Analyst,Senior,Full-time,Australia,Large,Australia,No remote,Associate,7,Retail,1400,7.2,Cognitive Computing,SQL,Tableau,Excel,R,PowerBI,105.0
AI Specialist,Executive,Freelance,Japan,Medium,Japan,Hybrid,PhD,12,Manufacturing,1750,8.3,Future Systems,Hadoop,Spark,Scala,Java,Kafka,165.9
AI Software Engineer,Mid,Contract,South Korea,Small,South Korea,Hybrid,Bachelor,4,Technology,1600,6.2,Advanced Robotics,Git,CI/CD,Python,Docker,Jenkins,85.4
ML Ops Engineer,Senior,Full-time,China,Large,China,No remote,Master,9,E-commerce,2000,7.9,AI Innovations,Azure,MLOps,Docker,Kubernetes,Python,125.7
AI Consultant,Mid,Freelance,Finland,Small,Finland,Fully remote,Associate,2,Consulting,1300,5.9,Autonomous Tech,JavaScript,React,Python,API,Node.js,68.3
NLP Engineer,Executive,Part-time,Singapore,Medium,Singapore,Fully remote,PhD,11,Government,1850,8.8,DeepTech Ventures,NLP,Transformers,Python,PyTorch,BERT,145.6
Robotics Engineer,Executive,Full-time,Denmark,Small,Denmark,No remote,Bachelor,19,Logistics,2400,9.5,Neural Networks Co,C++,ROS,Python,Linux,SLAM,220.0
Data Analyst,Entry,Part-time,Ireland,Medium,Ireland,Hybrid,Master,0,Real Estate,1050,6.5,DataVision Ltd,Data Visualization,D3.js,SQL,Python,Plotly,48.8
Machine Learning Engineer,Mid,Full-time,Germany,Medium,Germany,Hybrid,Master,2,Technology,1345,7.2,TechCorp Inc,Python,TensorFlow,Statistics,Docker,Git,62.15
Data Scientist,Senior,Contract,Canada,Large,Canada,Fully remote,Bachelor,7,Finance,1820,8.1,DataVision Ltd,SQL,PyTorch,Python,AWS,Java,115.8
AI Architect,Executive,Full-time,United States,Small,United States,No remote,PhD,12,Healthcare,1560,9.0,Neural Networks Co,Hadoop,Scala,Kubernetes,Linux,MLOps,178.4
Head of AI,Executive,Freelance,Switzerland,Medium,Switzerland,Fully remote,Master,15,Gaming,1100,8.5,Cognitive Computing,Kubernetes,AWS,Spark,PyTorch,Docker,210.3
Data Engineer,Mid,Part-time,India,Large,India,Hybrid,Associate,5,Consulting,1725,6.7,Smart Analytics,Java,Linux,SQL,Azure,Statistics,99.5
Research Scientist,Entry,Full-time,France,Small,France,No remote,PhD,0,Energy,920,5.8,Quantum Computing Inc,R,Data Visualization,Mathematics,GCP,Tableau,55.8
Computer Vision Engineer,Senior,Contract,Norway,Medium,Norway,Fully remote,Master,8,Automotive,2040,9.2,DeepTech Ventures,PyTorch,Computer Vision,Deep Learning,Python,NLP,141.2
AI Specialist,Mid,Freelance,United Kingdom,Small,United Kingdom,Hybrid,Bachelor,3,Media,1280,7.5,Algorithmic Solutions,Git,Spark,TensorFlow,Hadoop,Scala,78.9
AI Product Manager,Executive,Part-time,Japan,Large,Japan,No remote,Associate,11,Retail,890,6.3,Autonomous Tech,Scala,Hadoop,Python,MLOps,Linux,165.7
ML Ops Engineer,Entry,Full-time,Australia,Medium,Australia,Hybrid,Associate,1,Telecommunications,1650,8.0,Predictive Systems,Docker,GCP,Azure,Linux,Kubernetes,49.6
Data Analyst,Senior,Freelance,Sweden,Small,Sweden,Fully remote,PhD,9,Government,1450,9.5,Future Systems,Tableau,SQL,Statistics,R,Deep Learning,132.4
Autonomous Systems Engineer,Mid,Contract,South Korea,Large,South Korea,No remote,Master,4,Manufacturing,1900,7.0,Machine Intelligence Group,TensorFlow,Kubernetes,Java,Computer Vision,Mathematics,85.2
AI Consultant,Entry,Part-time,Ireland,Medium,Ireland,Fully remote,Bachelor,0,Real Estate,750,6.0,AI Innovations,Statistics,Python,NLP,Data Visualization,PyTorch,44.9
Deep Learning Engineer,Senior,Full-time,China,Small,China,Hybrid,PhD,6,Education,1680,8.8,Cloud AI Solutions,Spark,Java,Git,Scala,Hadoop,108.9
NLP Engineer,Executive,Freelance,Finland,Large,Finland,Hybrid,Bachelor,14,Transportation,1300,7.8,Advanced Robotics,MLOps,Docker,Kubernetes,Mathematics,AWS,155.6
AI Software Engineer,Executive,Contract,Singapore,Medium,Singapore,Fully remote,Associate,10,Consulting,2200,6.5,Digital Transformation LLC,Azure,PyTorch,SQL,Linux,TensorFlow,148.3
Machine Learning Researcher,Entry,Freelance,Austria,Small,Austria,No remote,Master,2,Gaming,1020,5.5,DeepTech Ventures,NLP,Tableau,Python,GCP,R,68.7
Principal Data Scientist,Executive,Full-time,Denmark,Medium,Denmark,No remote,PhD,16,Finance,1850,9.8,Machine Intelligence Group,Deep Learning,Statistics,TensorFlow,Spark,PyTorch,190.2
Robotics Engineer,Mid,Part-time,Israel,Large,Israel,Fully remote,Associate,3,Technology,1240,7.9,Neural Networks Co,Linux,MLOps,Computer Vision,Java,Docker,82.5
AI Research Scientist,Executive,Full-time,Netherlands,Small,Netherlands,Hybrid,PhD,13,Healthcare,1600,8.3,Quantum Computing Inc,GCP,Kubernetes,Python,AWS,Spark,202.1
